certification_ref,provider,provider_category,certification_name,exam_code,level,focus_area,price_usd,validity_months,status,exam_platform,official_url,source
SAS Institute|SAS Certified Data Scientist|Compuesta,SAS Institute,Analytics / ML,SAS Certified Data Scientist,Compuesta,Professional,Data Science end-to-end: programación + ML + analytics,0,60,Activa,Pearson VUE,https://www.sas.com/en_us/certification/credentials/advanced-analytics/data-scientist.html,research/certifications.csv
DAMA International|CDMP Associate|,DAMA International,Data Governance / Management,CDMP Associate,,Associate,Data Management / DMBOK2 (14 knowledge areas),311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Practitioner|,DAMA International,Data Governance / Management,CDMP Practitioner,,Practitioner,DMBOK2 Fundamentals + 2 Specialist / 2+ años experiencia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Master|,DAMA International,Data Governance / Management,CDMP Master,,Master,DMBOK2 Fundamentals + 2 Specialist / 10+ años experiencia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Data Quality|,DAMA International,Data Governance / Management,CDMP Specialist: Data Quality,,Specialist Add-on,Data Quality / Métricas / Frameworks,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Data Governance|,DAMA International,Data Governance / Management,CDMP Specialist: Data Governance,,Specialist Add-on,Gobierno de datos / Stewardship / Políticas,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Metadata Management|,DAMA International,Data Governance / Management,CDMP Specialist: Metadata Management,,Specialist Add-on,Metadata / Catalogación / Estrategia,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Data Modeling & Design|,DAMA International,Data Governance / Management,CDMP Specialist: Data Modeling & Design,,Specialist Add-on,Modelado lógico/físico / Normalización,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Data Warehousing & Business Intelligence|,DAMA International,Data Governance / Management,CDMP Specialist: Data Warehousing & Business Intelligence,,Specialist Add-on,Arquitectura DW / ETL / BI Reporting,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Reference & Master Data Management|,DAMA International,Data Governance / Management,CDMP Specialist: Reference & Master Data Management,,Specialist Add-on,MDM / Golden Record / Estrategias de MDM,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
DAMA International|CDMP Specialist: Data Integration & Interoperability|,DAMA International,Data Governance / Management,CDMP Specialist: Data Integration & Interoperability,,Specialist Add-on,Patrones de integración / APIs / Pipelines,311,36,Activa,Portal DAMA,https://dama.org/certification/about-cdmp-certification/,research/certifications.csv
Astronomer|Astronomer Certification for Apache Airflow Fundamentals (Airflow 2)|,Astronomer,Data Engineering / Orquestación,Astronomer Certification for Apache Airflow Fundamentals (Airflow 2),,Foundational,Arquitectura Airflow 2 / DAGs / Operators / Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/astronomer-certified-apache-airflow-core-exam,research/certifications.csv
Astronomer|Astronomer Certification for Apache Airflow 3 Fundamentals|,Astronomer,Data Engineering / Orquestación,Astronomer Certification for Apache Airflow 3 Fundamentals,,Foundational,Airflow 3 / Assets / Nuevo Task SDK / Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/certification-exam-apache-airflow-3-fundamentals,research/certifications.csv
Astronomer|Astronomer Certification: DAG Authoring for Apache Airflow (Airflow 2)|,Astronomer,Data Engineering / Orquestación,Astronomer Certification: DAG Authoring for Apache Airflow (Airflow 2),,Advanced,Dynamic Task Mapping / TaskFlow API / Custom Operators,150,,Activa,Astronomer Academy,https://academy.astronomer.io/astronomer-certification-apache-airflow-dag-authoring,research/certifications.csv
Astronomer|Astronomer Certification: DAG Authoring for Apache Airflow 3|,Astronomer,Data Engineering / Orquestación,Astronomer Certification: DAG Authoring for Apache Airflow 3,,Advanced,Airflow 3 DAG Authoring / Asset-driven Scheduling,150,,Activa,Astronomer Academy,https://academy.astronomer.io/certification-exam-dag-authoring-airflow-3,research/certifications.csv
